YEAR,FIPS,PLACE,GEO_ID,NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2021,602896,Artesia,6037554900,Census Tract 5549,90233.0,13236.0,92937.0,41026.0,,,,,89592.0,24110.0,,,75672.0,72024.0,,,121216.0,56895.0,88485.0,31788.0
2021,603274,Avalon,6037599000,Census Tract 5990,87388.0,20799.0,90208.0,22072.0,,,,,,,,,,,,,102040.0,34232.0,67843.0,30731.0
2021,603274,Avalon,6037599100,Census Tract 5991,,,,,,,,,,,,,,,,,,,,
2021,603344,Avocado Heights,6037408301,Census Tract 4083.01,83141.0,10078.0,75690.0,20372.0,,,,,104284.0,51897.0,,,90643.0,30426.0,82687.0,8233.0,76088.0,36561.0,82581.0,9994.0
2021,603344,Avocado Heights,6037408302,Census Tract 4083.02,106774.0,39542.0,128154.0,24183.0,,,,,,,,,68848.0,16911.0,122549.0,11189.0,127003.0,72353.0,103617.0,44122.0
2021,603344,Avocado Heights,6037408303,Census Tract 4083.03,124952.0,25472.0,142535.0,50284.0,,,,,87392.0,30822.0,,,126205.0,55505.0,147722.0,77268.0,143881.0,56275.0,134336.0,33245.0
2021,603344,Avocado Heights,6037980035,Census Tract 9800.35,73559.0,14546.0,118561.0,47324.0,,,,,,,,,70344.0,64549.0,,,80895.0,33492.0,74163.0,48185.0
2021,603386,Azusa,6037400602,Census Tract 4006.02,86511.0,5961.0,87579.0,8338.0,,,,,117312.0,14903.0,,,81842.0,11565.0,87930.0,31287.0,111260.0,40812.0,83792.0,7766.0
2021,603386,Azusa,6037400603,Census Tract 4006.03,98267.0,11187.0,96565.0,14654.0,103063.0,50724.0,,,119866.0,66770.0,,,92384.0,54078.0,104472.0,33969.0,104793.0,22009.0,96149.0,17297.0
2021,603386,Azusa,6037400605,Census Tract 4006.05,105340.0,27374.0,109267.0,23756.0,219524.0,50155.0,,,130551.0,19311.0,,,91501.0,88092.0,72371.0,13034.0,108095.0,35986.0,77475.0,29164.0
2021,603386,Azusa,6037400801,Census Tract 4008.01,127117.0,18332.0,114895.0,21574.0,250001.0,,,,170104.0,142374.0,,,140828.0,70632.0,147923.0,76276.0,110018.0,19108.0,132916.0,30730.0
2021,603386,Azusa,6037404000,Census Tract 4040,113331.0,22829.0,103368.0,21549.0,,,40961.0,410.0,164203.0,161296.0,,,160592.0,52447.0,119249.0,52310.0,97374.0,7510.0,125212.0,20513.0
