YEAR,FIPS,PLACE,GEO_ID,NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,2023_CPI_DOLLARS_ADJ_FACTOR
2017,644000,Los Angeles,6037139502,Census Tract 1395.02,78232.0,8290.0,75507.0,8490.0,,,,,189349.0,26159.0,,,,,,,78295.0,12820.0,73572.0,18591.0,1.223021582733813
2017,644000,Los Angeles,6037139503,Census Tract 1395.03,65345.0,11873.0,60234.0,15744.0,78522.0,60696.0,,,122709.0,54640.0,,,,,135102.0,88494.0,56764.0,15060.0,85711.0,38228.0,1.223021582733813
2017,644000,Los Angeles,6037139504,Census Tract 1395.04,58216.0,16430.0,51612.0,14607.0,150806.0,106074.0,,,111410.0,73019.0,,,,,,,50022.0,10412.0,82676.0,45838.0,1.223021582733813
2017,644000,Los Angeles,6037139600,Census Tract 1396,95419.0,16725.0,96336.0,15507.0,,,,,,,,,,,68795.0,16785.0,95161.0,12300.0,,,1.223021582733813
2017,644000,Los Angeles,6037139701,Census Tract 1397.01,170297.0,30840.0,173154.0,31580.0,,,,,153748.0,13887.0,,,,,,,178051.0,41195.0,,,1.223021582733813
2017,644000,Los Angeles,6037139702,Census Tract 1397.02,229795.0,39781.0,245190.0,50420.0,,,,,170841.0,30330.0,,,,,,,245190.0,52726.0,,,1.223021582733813
2017,644000,Los Angeles,6037139703,Census Tract 1397.03,146041.0,23588.0,162220.0,33788.0,,,,,151859.0,84960.0,,,,,,,163239.0,33255.0,44514.0,31931.0,1.223021582733813
2017,644000,Los Angeles,6037139801,Census Tract 1398.01,172293.0,58463.0,159503.0,47046.0,,,,,204717.0,123608.0,,,,,,,152403.0,43785.0,219866.0,210266.0,1.223021582733813
2017,644000,Los Angeles,6037139802,Census Tract 1398.02,176765.0,42488.0,192626.0,44393.0,,,,,122132.0,62538.0,,,,,245190.0,,196250.0,48642.0,163495.0,37705.0,1.223021582733813
2017,644000,Los Angeles,6037141101,Census Tract 1411.01,84776.0,12598.0,89409.0,10562.0,,,,,84331.0,16971.0,,,,,,,89167.0,10862.0,74815.0,54636.0,1.223021582733813
2017,644000,Los Angeles,6037141102,Census Tract 1411.02,113463.0,17489.0,111984.0,17905.0,62575.0,9081.0,,,122685.0,58656.0,,,,,245190.0,,114467.0,19990.0,,,1.223021582733813
2017,644000,Los Angeles,6037141201,Census Tract 1412.01,85720.0,18611.0,88014.0,16132.0,132545.0,58907.0,,,62562.0,29065.0,,,,,117104.0,77329.0,87725.0,24996.0,96483.0,20398.0,1.223021582733813
