YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013B_001E,B19013B_001M
2010,6037311200,Census Tract 3112,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),78750.0,17475.0
2010,6037311300,Census Tract 3113,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),,
2010,6037311400,Census Tract 3114,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),,
2010,6037311500,Census Tract 3115,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),100571.0,52440.0
2010,6037311600,Census Tract 3116,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),31346.0,56691.0
2010,6037311700,Census Tract 3117,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),103560.0,6006.0
2010,6037311801,Census Tract 3118.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),16763.0,61759.0
2010,6037311802,Census Tract 3118.02,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),55588.0,103655.0
2010,6037980001,Census Tract 9800.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),,
2010,6037137402,Census Tract 1374.02,Calabasas,Los Angeles County,California,Calabasas,,
2010,6037800101,Census Tract 8001.01,Calabasas,Los Angeles County,California,Calabasas,,
2010,6037800102,Census Tract 8001.02,Calabasas,Los Angeles County,California,Calabasas,,
2010,6037800202,Census Tract 8002.02,Calabasas,Los Angeles County,California,Calabasas,,
2010,6037800203,Census Tract 8002.03,Calabasas,Los Angeles County,California,Calabasas,61089.0,550.0
2010,6037800204,Census Tract 8002.04,Calabasas,Los Angeles County,California,Calabasas,186635.0,92479.0
2010,6037800328,Census Tract 8003.28,Calabasas,Los Angeles County,California,Calabasas,,
2010,6037800329,Census Tract 8003.29,Calabasas,Los Angeles County,California,Calabasas,122083.0,12475.0
2010,6037291300,Census Tract 2913,Carson,Los Angeles County,California,Carson,32070.0,35728.0
2010,6037294110,Census Tract 2941.10,Carson,Los Angeles County,California,Carson,,
2010,6037541002,Census Tract 5410.02,Carson,Los Angeles County,California,Carson,73209.0,23815.0
2010,6037543100,Census Tract 5431,Carson,Los Angeles County,California,Carson,50383.0,9999.0
2010,6037543202,Census Tract 5432.02,Carson,Los Angeles County,California,Carson,45050.0,25005.0
2010,6037543304,Census Tract 5433.04,Carson,Los Angeles County,California,Carson,85555.0,10090.0
2010,6037543306,Census Tract 5433.06,Carson,Los Angeles County,California,Carson,75357.0,9823.0
2010,6037543321,Census Tract 5433.21,Carson,Los Angeles County,California,Carson,74712.0,23440.0
2010,6037543322,Census Tract 5433.22,Carson,Los Angeles County,California,Carson,92227.0,10923.0
2010,6037543400,Census Tract 5434,Carson,Los Angeles County,California,Carson,117434.0,60921.0
2010,6037543501,Census Tract 5435.01,Carson,Los Angeles County,California,Carson,51989.0,45602.0
2010,6037543601,Census Tract 5436.01,Carson,Los Angeles County,California,Carson,102361.0,44681.0
2010,6037543604,Census Tract 5436.04,Carson,Los Angeles County,California,Carson,86667.0,62831.0
2010,6037543701,Census Tract 5437.01,Carson,Los Angeles County,California,Carson,,
2010,6037543702,Census Tract 5437.02,Carson,Los Angeles County,California,Carson,91199.0,679.0
2010,6037543703,Census Tract 5437.03,Carson,Los Angeles County,California,Carson,85375.0,39141.0
2010,6037543801,Census Tract 5438.01,Carson,Los Angeles County,California,Carson,63508.0,42031.0
2010,6037543802,Census Tract 5438.02,Carson,Los Angeles County,California,Carson,65324.0,21339.0
2010,6037543903,Census Tract 5439.03,Carson,Los Angeles County,California,Carson,126518.0,43723.0
2010,6037543905,Census Tract 5439.05,Carson,Los Angeles County,California,Carson,48159.0,18316.0
