YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013H_001E,B19013H_001M
2014,6037700700,Census Tract 7007,Beverly Hills,Los Angeles County,California,BeverlyHills,236087.0,116151.0
2014,6037700801,Census Tract 7008.01,Beverly Hills,Los Angeles County,California,BeverlyHills,75411.0,23756.0
2014,6037700802,Census Tract 7008.02,Beverly Hills,Los Angeles County,California,BeverlyHills,67911.0,14482.0
2014,6037700901,Census Tract 7009.01,Beverly Hills,Los Angeles County,California,BeverlyHills,74688.0,25483.0
2014,6037700902,Census Tract 7009.02,Beverly Hills,Los Angeles County,California,BeverlyHills,76500.0,10927.0
2014,6037701000,Census Tract 7010,Beverly Hills,Los Angeles County,California,BeverlyHills,107891.0,7235.0
2014,6037430200,Census Tract 4302,Bradbury,Los Angeles County,California,Bradbury,82109.0,8310.0
2014,6037123103,Census Tract 1231.03,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),42162.0,14987.0
2014,6037310100,Census Tract 3101,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),112171.0,30468.0
2014,6037310201,Census Tract 3102.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),61071.0,25553.0
2014,6037310202,Census Tract 3102.02,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),64031.0,11982.0
2014,6037310300,Census Tract 3103,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),88162.0,23697.0
2014,6037310400,Census Tract 3104,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),74118.0,26762.0
2014,6037310501,Census Tract 3105.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),49375.0,21730.0
2014,6037310601,Census Tract 3106.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),45460.0,7449.0
2014,6037310602,Census Tract 3106.02,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),85972.0,32374.0
2014,6037310701,Census Tract 3107.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),24199.0,4921.0
2014,6037310702,Census Tract 3107.02,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),37151.0,9753.0
2014,6037310703,Census Tract 3107.03,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),53438.0,13380.0
2014,6037310800,Census Tract 3108,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),60817.0,15762.0
2014,6037310900,Census Tract 3109,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),78006.0,26916.0
2014,6037311000,Census Tract 3110,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),63333.0,15851.0
2014,6037311100,Census Tract 3111,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),90463.0,11711.0
2014,6037311200,Census Tract 3112,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),61838.0,24034.0
2014,6037311300,Census Tract 3113,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),90197.0,17241.0
2014,6037311400,Census Tract 3114,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),70213.0,9071.0
2014,6037311500,Census Tract 3115,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),78622.0,10545.0
2014,6037311600,Census Tract 3116,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),73430.0,8619.0
2014,6037311700,Census Tract 3117,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),75469.0,20471.0
2014,6037311801,Census Tract 3118.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),60806.0,11251.0
2014,6037311802,Census Tract 3118.02,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),47639.0,14229.0
2014,6037980001,Census Tract 9800.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),,
2014,6037137402,Census Tract 1374.02,Calabasas,Los Angeles County,California,Calabasas,84760.0,18945.0
2014,6037800101,Census Tract 8001.01,Calabasas,Los Angeles County,California,Calabasas,135417.0,17057.0
2014,6037800102,Census Tract 8001.02,Calabasas,Los Angeles County,California,Calabasas,109444.0,21065.0
2014,6037800202,Census Tract 8002.02,Calabasas,Los Angeles County,California,Calabasas,129191.0,63485.0
2014,6037800203,Census Tract 8002.03,Calabasas,Los Angeles County,California,Calabasas,147105.0,23398.0
2014,6037800204,Census Tract 8002.04,Calabasas,Los Angeles County,California,Calabasas,120256.0,32587.0
2014,6037800328,Census Tract 8003.28,Calabasas,Los Angeles County,California,Calabasas,74275.0,18332.0
2014,6037800329,Census Tract 8003.29,Calabasas,Los Angeles County,California,Calabasas,105017.0,18523.0
2014,6037291300,Census Tract 2913,Carson,Los Angeles County,California,Carson,56818.0,28479.0
2014,6037294110,Census Tract 2941.10,Carson,Los Angeles County,California,Carson,72958.0,22213.0
2014,6037541002,Census Tract 5410.02,Carson,Los Angeles County,California,Carson,71125.0,31603.0
2014,6037543100,Census Tract 5431,Carson,Los Angeles County,California,Carson,31250.0,37778.0
2014,6037543202,Census Tract 5432.02,Carson,Los Angeles County,California,Carson,,
2014,6037543304,Census Tract 5433.04,Carson,Los Angeles County,California,Carson,88750.0,89699.0
2014,6037543306,Census Tract 5433.06,Carson,Los Angeles County,California,Carson,29775.0,29723.0
2014,6037543321,Census Tract 5433.21,Carson,Los Angeles County,California,Carson,71300.0,23738.0
2014,6037543322,Census Tract 5433.22,Carson,Los Angeles County,California,Carson,,
2014,6037543400,Census Tract 5434,Carson,Los Angeles County,California,Carson,62250.0,58805.0
2014,6037543501,Census Tract 5435.01,Carson,Los Angeles County,California,Carson,57788.0,34817.0
2014,6037543601,Census Tract 5436.01,Carson,Los Angeles County,California,Carson,51932.0,71626.0
2014,6037543604,Census Tract 5436.04,Carson,Los Angeles County,California,Carson,85682.0,36571.0
2014,6037543701,Census Tract 5437.01,Carson,Los Angeles County,California,Carson,105000.0,94341.0
2014,6037543702,Census Tract 5437.02,Carson,Los Angeles County,California,Carson,77656.0,13843.0
2014,6037543703,Census Tract 5437.03,Carson,Los Angeles County,California,Carson,59792.0,40912.0
2014,6037543801,Census Tract 5438.01,Carson,Los Angeles County,California,Carson,43036.0,35069.0
2014,6037543802,Census Tract 5438.02,Carson,Los Angeles County,California,Carson,55357.0,40318.0
2014,6037543903,Census Tract 5439.03,Carson,Los Angeles County,California,Carson,38750.0,16680.0
2014,6037543905,Census Tract 5439.05,Carson,Los Angeles County,California,Carson,48542.0,158539.0
2014,6037544001,Census Tract 5440.01,Carson,Los Angeles County,California,Carson,53942.0,22851.0
2014,6037544002,Census Tract 5440.02,Carson,Los Angeles County,California,Carson,48750.0,17861.0
2014,6037572301,Census Tract 5723.01,Carson,Los Angeles County,California,Carson,19808.0,32775.0
2014,6037980002,Census Tract 9800.02,Carson,Los Angeles County,California,Carson,,
2014,6037980025,Census Tract 9800.25,Carson,Los Angeles County,California,Carson,,
