YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013F_001E,B19013F_001M
2013,06037543604,Census Tract 5436.04,Carson,Los Angeles County,California,Carson,90833,19532
2013,06037543701,Census Tract 5437.01,Carson,Los Angeles County,California,Carson,56250,13580
2013,06037543702,Census Tract 5437.02,Carson,Los Angeles County,California,Carson,80347,15611
2013,06037543703,Census Tract 5437.03,Carson,Los Angeles County,California,Carson,111250,35504
2013,06037543801,Census Tract 5438.01,Carson,Los Angeles County,California,Carson,90625,30603
2013,06037543802,Census Tract 5438.02,Carson,Los Angeles County,California,Carson,44219,11587
2013,06037543903,Census Tract 5439.03,Carson,Los Angeles County,California,Carson,72333,34854
2013,06037543905,Census Tract 5439.05,Carson,Los Angeles County,California,Carson,48750,26091
2013,06037544001,Census Tract 5440.01,Carson,Los Angeles County,California,Carson,60375,14093
2013,06037544002,Census Tract 5440.02,Carson,Los Angeles County,California,Carson,59219,64598
2013,06037572301,Census Tract 5723.01,Carson,Los Angeles County,California,Carson,45882,10533
2013,06037980002,Census Tract 9800.02,Carson,Los Angeles County,California,Carson,,
2013,06037980025,Census Tract 9800.25,Carson,Los Angeles County,California,Carson,,
2013,06037920102,Census Tract 9201.02,Castaic,Los Angeles County,California,Castaic,76932,73222
2013,06037920104,Census Tract 9201.04,Castaic,Los Angeles County,California,Castaic,71953,59334
2013,06037920116,Census Tract 9201.16,Castaic,Los Angeles County,California,Castaic,16662,25508
2013,06037920118,Census Tract 9201.18,Castaic,Los Angeles County,California,Castaic,59493,17411
2013,06037920119,Census Tract 9201.19,Castaic,Los Angeles County,California,Castaic,138295,31713
2013,06037504102,Census Tract 5041.02,Cerritos,Los Angeles County,California,Cerritos,,
2013,06037553000,Census Tract 5530,Cerritos,Los Angeles County,California,Cerritos,61944,32102
2013,06037554511,Census Tract 5545.11,Cerritos,Los Angeles County,California,Cerritos,,
2013,06037554512,Census Tract 5545.12,Cerritos,Los Angeles County,California,Cerritos,164313,128200
2013,06037554513,Census Tract 5545.13,Cerritos,Los Angeles County,California,Cerritos,53500,54682
2013,06037554514,Census Tract 5545.14,Cerritos,Los Angeles County,California,Cerritos,47045,106316
2013,06037554515,Census Tract 5545.15,Cerritos,Los Angeles County,California,Cerritos,151250,350662
2013,06037554516,Census Tract 5545.16,Cerritos,Los Angeles County,California,Cerritos,121111,55843
2013,06037554517,Census Tract 5545.17,Cerritos,Los Angeles County,California,Cerritos,,
2013,06037554518,Census Tract 5545.18,Cerritos,Los Angeles County,California,Cerritos,130690,53464
2013,06037554519,Census Tract 5545.19,Cerritos,Los Angeles County,California,Cerritos,,
2013,06037554521,Census Tract 5545.21,Cerritos,Los Angeles County,California,Cerritos,41364,55521
2013,06037554522,Census Tract 5545.22,Cerritos,Los Angeles County,California,Cerritos,41354,31977
2013,06037554900,Census Tract 5549,Cerritos,Los Angeles County,California,Cerritos,21144,22159
2013,06037403702,Census Tract 4037.02,Charter Oak,Los Angeles County,California,CharterOak,65489,14912
2013,06037403703,Census Tract 4037.03,Charter Oak,Los Angeles County,California,CharterOak,143393,37900
2013,06037403721,Census Tract 4037.21,Charter Oak,Los Angeles County,California,CharterOak,63250,20070
2013,06037403801,Census Tract 4038.01,Charter Oak,Los Angeles County,California,CharterOak,69700,61466
2013,06037403802,Census Tract 4038.02,Charter Oak,Los Angeles County,California,CharterOak,66103,8075
2013,06037400900,Census Tract 4009,Citrus,Los Angeles County,California,Citrus,46250,56033
2013,06037403801,Census Tract 4038.01,Citrus,Los Angeles County,California,Citrus,69700,61466
2013,06037403901,Census Tract 4039.01,Citrus,Los Angeles County,California,Citrus,73393,22289
2013,06037404000,Census Tract 4040,Citrus,Los Angeles County,California,Citrus,85078,19627
2013,06037404100,Census Tract 4041,Citrus,Los Angeles County,California,Citrus,64659,42312
2013,06037404201,Census Tract 4042.01,Citrus,Los Angeles County,California,Citrus,29583,19578
2013,06037404202,Census Tract 4042.02,Citrus,Los Angeles County,California,Citrus,61964,21607
2013,06037405900,Census Tract 4059,Citrus,Los Angeles County,California,Citrus,62222,64021
2013,06037400204,Census Tract 4002.04,Claremont,Los Angeles County,California,Claremont,,
2013,06037400205,Census Tract 4002.05,Claremont,Los Angeles County,California,Claremont,,
2013,06037400206,Census Tract 4002.06,Claremont,Los Angeles County,California,Claremont,,
2013,06037401701,Census Tract 4017.01,Claremont,Los Angeles County,California,Claremont,99844,74571
2013,06037401800,Census Tract 4018,Claremont,Los Angeles County,California,Claremont,,
2013,06037401901,Census Tract 4019.01,Claremont,Los Angeles County,California,Claremont,,
2013,06037401902,Census Tract 4019.02,Claremont,Los Angeles County,California,Claremont,45000,8272
2013,06037402001,Census Tract 4020.01,Claremont,Los Angeles County,California,Claremont,42885,7020
2013,06037402002,Census Tract 4020.02,Claremont,Los Angeles County,California,Claremont,85192,42141
2013,06037531302,Census Tract 5313.02,Commerce,Los Angeles County,California,Commerce,40028,7072
2013,06037531901,Census Tract 5319.01,Commerce,Los Angeles County,California,Commerce,41944,9977
2013,06037532001,Census Tract 5320.01,Commerce,Los Angeles County,California,Commerce,40592,35288
2013,06037532200,Census Tract 5322,Commerce,Los Angeles County,California,Commerce,60278,36548
2013,06037532302,Census Tract 5323.02,Commerce,Los Angeles County,California,Commerce,50357,8884
2013,06037532303,Census Tract 5323.03,Commerce,Los Angeles County,California,Commerce,61292,9749
2013,06037532304,Census Tract 5323.04,Commerce,Los Angeles County,California,Commerce,45417,38889
2013,06037532400,Census Tract 5324,Commerce,Los Angeles County,California,Commerce,30625,29123
2013,06037533703,Census Tract 5337.03,Commerce,Los Angeles County,California,Commerce,31012,12860
2013,06037541100,Census Tract 5411,Compton,Los Angeles County,California,Compton,42000,19978
2013,06037541200,Census Tract 5412,Compton,Los Angeles County,California,Compton,90040,53150
2013,06037541300,Census Tract 5413,Compton,Los Angeles County,California,Compton,47841,12683
2013,06037541603,Census Tract 5416.03,Compton,Los Angeles County,California,Compton,27500,4848
2013,06037541604,Census Tract 5416.04,Compton,Los Angeles County,California,Compton,35000,6574
2013,06037541605,Census Tract 5416.05,Compton,Los Angeles County,California,Compton,42317,6690
2013,06037541606,Census Tract 5416.06,Compton,Los Angeles County,California,Compton,36250,11497
2013,06037541801,Census Tract 5418.01,Compton,Los Angeles County,California,Compton,44653,32359
2013,06037541802,Census Tract 5418.02,Compton,Los Angeles County,California,Compton,50917,4279
2013,06037542000,Census Tract 5420,Compton,Los Angeles County,California,Compton,44489,9037
2013,06037542103,Census Tract 5421.03,Compton,Los Angeles County,California,Compton,51750,25578
2013,06037542104,Census Tract 5421.04,Compton,Los Angeles County,California,Compton,55129,16689
2013,06037542105,Census Tract 5421.05,Compton,Los Angeles County,California,Compton,44450,13274
2013,06037542106,Census Tract 5421.06,Compton,Los Angeles County,California,Compton,45515,21483
2013,06037542200,Census Tract 5422,Compton,Los Angeles County,California,Compton,51736,11975
2013,06037542401,Census Tract 5424.01,Compton,Los Angeles County,California,Compton,54856,5966
2013,06037542402,Census Tract 5424.02,Compton,Los Angeles County,California,Compton,51250,8504
