YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013I_001E,B19013I_001M
2013,06037269000,Census Tract 2690,Beverly Hills,Los Angeles County,California,BeverlyHills,24792,78639
2013,06037700501,Census Tract 7005.01,Beverly Hills,Los Angeles County,California,BeverlyHills,80826,7734
2013,06037700600,Census Tract 7006,Beverly Hills,Los Angeles County,California,BeverlyHills,,
2013,06037700700,Census Tract 7007,Beverly Hills,Los Angeles County,California,BeverlyHills,,
2013,06037700801,Census Tract 7008.01,Beverly Hills,Los Angeles County,California,BeverlyHills,9375,157757
2013,06037700802,Census Tract 7008.02,Beverly Hills,Los Angeles County,California,BeverlyHills,33889,151070
2013,06037700901,Census Tract 7009.01,Beverly Hills,Los Angeles County,California,BeverlyHills,115667,52724
2013,06037700902,Census Tract 7009.02,Beverly Hills,Los Angeles County,California,BeverlyHills,48828,14572
2013,06037701000,Census Tract 7010,Beverly Hills,Los Angeles County,California,BeverlyHills,101691,137473
2013,06037430200,Census Tract 4302,Bradbury,Los Angeles County,California,Bradbury,44464,27158
2013,06037123103,Census Tract 1231.03,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),45038,4318
2013,06037310100,Census Tract 3101,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),101442,32648
2013,06037310201,Census Tract 3102.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),112857,65442
2013,06037310202,Census Tract 3102.02,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),62337,14739
2013,06037310300,Census Tract 3103,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),153000,47891
2013,06037310400,Census Tract 3104,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),42019,19673
2013,06037310501,Census Tract 3105.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),39811,7801
2013,06037310601,Census Tract 3106.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),41996,11575
2013,06037310602,Census Tract 3106.02,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),90742,37608
2013,06037310701,Census Tract 3107.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),55750,49888
2013,06037310702,Census Tract 3107.02,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),70313,43107
2013,06037310703,Census Tract 3107.03,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),36897,25179
2013,06037310800,Census Tract 3108,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),58571,27630
2013,06037310900,Census Tract 3109,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),58214,48381
