YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013D_001E,B19013D_001M
2013,06037311700,Census Tract 3117,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),85184,28434
2013,06037311801,Census Tract 3118.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),74750,11611
2013,06037311802,Census Tract 3118.02,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),40385,86140
2013,06037980001,Census Tract 9800.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),,
2013,06037137402,Census Tract 1374.02,Calabasas,Los Angeles County,California,Calabasas,133295,220134
2013,06037800101,Census Tract 8001.01,Calabasas,Los Angeles County,California,Calabasas,188636,131982
2013,06037800102,Census Tract 8001.02,Calabasas,Los Angeles County,California,Calabasas,54250,188390
2013,06037800202,Census Tract 8002.02,Calabasas,Los Angeles County,California,Calabasas,186321,47916
2013,06037800203,Census Tract 8002.03,Calabasas,Los Angeles County,California,Calabasas,142734,69757
2013,06037800204,Census Tract 8002.04,Calabasas,Los Angeles County,California,Calabasas,129659,57494
2013,06037800328,Census Tract 8003.28,Calabasas,Los Angeles County,California,Calabasas,69327,88396
2013,06037800329,Census Tract 8003.29,Calabasas,Los Angeles County,California,Calabasas,130379,74638
2013,06037291300,Census Tract 2913,Carson,Los Angeles County,California,Carson,47436,16476
2013,06037294110,Census Tract 2941.10,Carson,Los Angeles County,California,Carson,133214,142767
2013,06037541002,Census Tract 5410.02,Carson,Los Angeles County,California,Carson,64688,7495
2013,06037543100,Census Tract 5431,Carson,Los Angeles County,California,Carson,,
2013,06037543202,Census Tract 5432.02,Carson,Los Angeles County,California,Carson,,
2013,06037543304,Census Tract 5433.04,Carson,Los Angeles County,California,Carson,103750,156691
2013,06037543306,Census Tract 5433.06,Carson,Los Angeles County,California,Carson,87841,20514
2013,06037543321,Census Tract 5433.21,Carson,Los Angeles County,California,Carson,89219,96127
2013,06037543322,Census Tract 5433.22,Carson,Los Angeles County,California,Carson,97750,89986
2013,06037543400,Census Tract 5434,Carson,Los Angeles County,California,Carson,88646,18629
2013,06037543501,Census Tract 5435.01,Carson,Los Angeles County,California,Carson,75298,17830
2013,06037543601,Census Tract 5436.01,Carson,Los Angeles County,California,Carson,95956,21897
2013,06037543604,Census Tract 5436.04,Carson,Los Angeles County,California,Carson,108854,37693
2013,06037543701,Census Tract 5437.01,Carson,Los Angeles County,California,Carson,99766,42081
2013,06037543702,Census Tract 5437.02,Carson,Los Angeles County,California,Carson,81274,9916
2013,06037543703,Census Tract 5437.03,Carson,Los Angeles County,California,Carson,61923,43858
2013,06037543801,Census Tract 5438.01,Carson,Los Angeles County,California,Carson,98958,11858
2013,06037543802,Census Tract 5438.02,Carson,Los Angeles County,California,Carson,71221,21157
2013,06037543903,Census Tract 5439.03,Carson,Los Angeles County,California,Carson,92674,28238
2013,06037543905,Census Tract 5439.05,Carson,Los Angeles County,California,Carson,57292,14314
2013,06037544001,Census Tract 5440.01,Carson,Los Angeles County,California,Carson,62581,23203
2013,06037544002,Census Tract 5440.02,Carson,Los Angeles County,California,Carson,87083,39973
2013,06037572301,Census Tract 5723.01,Carson,Los Angeles County,California,Carson,85795,35432
2013,06037980002,Census Tract 9800.02,Carson,Los Angeles County,California,Carson,,
2013,06037980025,Census Tract 9800.25,Carson,Los Angeles County,California,Carson,,
2013,06037920102,Census Tract 9201.02,Castaic,Los Angeles County,California,Castaic,81750,51362
2013,06037920104,Census Tract 9201.04,Castaic,Los Angeles County,California,Castaic,97386,75250
2013,06037920116,Census Tract 9201.16,Castaic,Los Angeles County,California,Castaic,109076,11257
